WGTP,PWGTP,SOCP,ST,
74,111,252050,23,
170,170,533051,23,
170,181,353031,23,
17,16,431011,23,
17,19,1191XX,23,
27,27,535020,23,
27,29,352010,23,
27,90,453031,23,
132,133,433031,23,
132,135,499071,23,
91,90,252050,23,
91,188,252050,23,
91,183,353023,23,
91,156,351011,23,
158,157,119051,23,
158,154,119051,23,
158,200,-1,23,
158,384,311122,23,
42,42,-1,23,
278,278,131141,23,
278,275,399032,23,
278,269,-1,23,
13,13,-1,23,
13,14,172141,23,
13,30,339030,23,
26,26,251000,23,
26,28,291210,23,
110,110,-1,23,
110,89,-1,23,
115,115,-1,23,
37,36,-1,23,
164,163,439XXX,23,
164,184,359021,23,
192,192,352021,23,
192,155,-1,23,
17,17,311122,23,
17,18,4330XX,23,
20,20,232011,23,
20,22,252030,23,
148,148,-1,23,
148,187,-1,23,
105,104,472031,23,
191,191,271010,23,
191,240,319092,23,
191,157,-1,23,
191,162,-1,23,
35,35,-1,23,
437,438,291141,23,
102,102,311122,23,
31,31,-1,23,
31,30,-1,23,
21,21,472070,23,
21,21,439061,23,
21,36,119051,23,
43,42,-1,23,
43,56,-1,23,
64,64,-1,23,
52,52,399011,23,
52,92,499096,23,
52,42,493090,23,
356,355,1110XX,23,
356,366,319092,23,
356,562,-1,23,
356,356,-1,23,
356,422,-1,23,
105,105,259040,23,
105,96,492011,23,
61,60,292034,23,
61,64,292061,23,
61,87,412031,23,
592,591,434051,23,
592,521,113031,23,
125,125,-1,23,
42,43,-1,23,
37,37,132011,23,
37,46,514041,23,
37,41,-1,23,
25,25,-1,23,
25,24,-1,23,
143,143,311122,23,
143,143,254022,23,
143,108,-1,23,
143,126,-1,23,
245,245,1191XX,23,
245,129,493031,23,
15,15,499052,23,
15,19,113031,23,
30,30,-1,23,
14,14,-1,23,
15,15,472080,23,
15,15,412010,23,
46,47,472070,23,
76,76,353031,23,
76,58,472111,23,
76,78,-1,23,
76,78,-1,23,
54,54,-1,23,
54,58,511011,23,
28,28,131111,23,
28,41,518021,23,
161,160,-1,23,
161,203,-1,23,
49,49,-1,23,
49,52,5170XX,23,
49,45,-1,23,
48,48,119111,23,
48,46,433031,23,
48,55,472031,23,
48,43,5191XX,23,
48,72,537061,23,
48,36,-1,23,
48,36,-1,23,
48,37,-1,23,
48,41,-1,23,
48,52,-1,23,
48,52,-1,23,
48,59,29205X,23,
49,48,291210,23,
49,103,412010,23,
184,185,2590XX,23,
184,251,533030,23,
184,148,-1,23,
184,167,-1,23,
184,170,-1,23,
273,273,251000,23,
273,210,472XXX,23,
86,86,291141,23,
52,52,411011,23,
52,42,339030,23,
52,117,353031,23,
39,39,-1,23,
38,38,-1,23,
58,58,252010,23,
58,68,352021,23,
43,43,194031,23,
186,187,291141,23,
186,202,-1,23,
186,203,-1,23,
186,189,-1,23,
31,31,-1,23,
57,58,2911XX,23,
57,42,533030,23,
63,63,-1,23,
22,22,-1,23,
22,22,-1,23,
22,33,-1,23,
137,138,311131,23,
198,199,537051,23,
191,192,119111,23,
191,162,131161,23,
191,134,-1,23,
191,160,-1,23,
37,37,-1,23,
37,35,291141,23,
27,27,-1,23,
27,22,359031,23,
39,39,-1,23,
39,20,-1,23,
39,26,352010,23,
39,24,-1,23,
39,16,999920,23,
39,35,472070,23,
201,201,113121,23,
201,221,252030,23,
201,240,439041,23,
109,110,-1,23,
109,107,-1,23,
15,15,-1,23,
15,17,-1,23,
15,34,399011,23,
153,153,-1,23,
153,106,1191XX,23,
153,128,-1,23,
148,147,412031,23,
148,281,-1,23,
99,99,537064,23,
99,25,-1,23,
27,27,-1,23,
27,29,414010,23,
56,56,311122,23,
56,54,433031,23,
56,41,-1,23,
56,70,-1,23,
56,70,113021,23,
56,52,-1,23,
56,65,-1,23,
44,44,472070,23,
44,44,-1,23,
53,53,1191XX,23,
53,102,436014,23,
60,61,-1,23,
95,96,-1,23,
58,58,434YYY,23,
58,59,373011,23,
17,16,472031,23,
17,17,319092,23,
131,130,533030,23,
131,178,259040,23,
131,107,412010,23,
