O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
19-1021,5.25,4.38,5.12,4.62,4.75,5.12,5.12,5.25,4.38,4.25,3.12,3.12,3.0,2.25,4.38,2.62,4.25,3.62,2.88,2.38,0.12,2.75,2.75,2.12,1.12,1.38,1.12,3.25,4.25,4.0,4.0,3.5,1.62,2.0,3.0,10.0
19-1022,5.25,4.0,4.75,4.0,3.88,5.0,4.5,4.5,3.88,3.88,3.25,3.62,2.75,2.75,3.88,3.0,4.0,3.0,1.38,1.12,0.0,2.12,2.88,2.5,0.0,1.88,0.0,3.0,4.12,3.75,3.75,4.0,2.0,2.38,3.62,-2400.0
19-1023,4.62,4.0,4.25,3.88,3.0,3.88,4.12,3.75,3.0,3.5,3.12,3.12,3.0,3.0,3.25,3.0,3.75,1.38,1.0,0.0,0.0,1.12,2.5,2.38,0.0,0.75,0.0,2.12,3.88,3.5,3.38,3.75,2.0,2.0,3.0,280.0
19-1029,5.0,4.25,4.88,4.375,4.1850000000000005,4.6899999999999995,4.4399999999999995,4.4350000000000005,3.75,4.0,3.44,3.375,3.06,3.0,3.685,2.75,4.1850000000000005,1.81,1.56,0.435,0.0,2.125,2.625,1.0,0.0,1.31,0.0,2.56,4.125,3.62,3.5,3.5,1.935,2.06,3.185,7870.0
19-1031,4.12,4.0,4.0,3.88,3.25,3.38,4.0,3.62,3.25,3.75,3.38,3.62,3.0,3.0,3.25,3.38,3.75,3.12,1.12,0.62,0.0,1.0,2.38,2.5,0.5,1.62,0.62,2.62,3.62,3.5,3.38,3.12,1.75,2.12,3.0,2860.0
19-1032,4.0,3.88,4.12,3.75,3.62,3.38,4.25,3.62,3.0,4.38,3.38,4.12,3.38,3.75,3.12,3.0,4.12,2.75,2.0,1.75,0.0,0.38,3.0,3.12,0.0,0.62,0.0,2.25,4.38,4.38,3.88,3.62,2.38,2.62,3.5,370.0
19-1041,5.0,4.5,4.38,4.25,4.0,5.25,4.75,4.62,3.62,4.12,3.88,3.75,3.5,3.25,3.75,3.38,4.38,3.62,0.62,0.0,0.0,0.75,1.38,0.12,0.0,0.0,0.0,0.88,4.25,4.0,3.88,3.62,1.5,1.88,3.38,1990.0
19-2011,5.12,4.12,5.0,4.88,5.0,5.0,4.25,4.75,3.75,3.88,3.12,3.0,3.0,2.75,3.88,3.12,3.88,3.25,2.25,0.88,0.0,2.12,2.12,0.88,0.75,0.75,0.75,1.12,3.75,3.25,3.12,3.25,2.5,2.12,3.12,410.0
19-2012,5.88,4.75,5.0,4.75,5.5,5.75,4.88,5.5,5.0,4.0,3.12,3.38,3.5,2.75,4.62,3.0,4.88,3.62,3.38,1.5,0.12,3.88,2.38,0.62,0.0,2.0,0.0,3.25,4.5,4.0,3.88,3.62,2.12,2.25,3.12,-60.0
19-2021,4.88,4.25,4.0,4.12,3.88,4.88,4.12,4.0,3.25,3.62,3.25,3.12,3.12,2.88,3.75,3.12,4.0,3.0,1.25,0.0,0.0,1.38,1.75,0.12,0.0,0.0,0.0,1.0,3.88,3.62,3.12,3.12,1.25,1.38,3.0,-1560.0
